# Code: cgiSensePlot.c v4.0 (sll - 13 February 2009 Build)
# from WWW Sensitivity Curve Generator located at:
#   http://www.srl.caltech.edu/~shane/sensitivity/MakeCurve.html
# EQUAL ARM Space Based Observatory Sensitivity Curve
# Polarization and All Sky Averaged
# 
# For this data file:
# SNR = 1.000000 
# Armlength = 5.000000e+09 	meters
# Optics diameter = 0.300000 	meters
# Wavelength = 1064.000000 	nanometers
# Laser power = 1.000000 Watts
# Optical train efficiency = 0.300000 
# Accleration noise = 3.000000e-15 m/(s^2 root Hz)
# Position noise = 2.000000e-11 m/(root Hz)
# Sensitivity Floor Set by Position Noise Budget
# Output Curve type is Dimensionless strain (1 yr integration)
# Astrophysical Noise is No White Dwarf Noise
#
#
#
# f [Hz] 	 h [dimensionless strain]
8.345213e-02    1.243086e-23
8.539657e-02    1.368262e-23
8.738631e-02    1.491460e-23
8.942241e-02    1.578457e-23
9.150595e-02    1.597677e-23
9.363804e-02    1.549885e-23
9.581978e-02    1.467640e-23
9.803368e-02    1.386789e-23
1.002987e-01    1.327725e-23
1.026162e-01    1.300275e-23
1.049872e-01    1.309529e-23
1.074128e-01    1.360080e-23
1.098946e-01    1.457382e-23
1.124337e-01    1.605062e-23
1.150315e-01    1.793367e-23
1.176892e-01    1.974931e-23
1.204084e-01    2.060304e-23
1.231905e-01    2.002142e-23
1.260368e-01    1.863581e-23
1.289488e-01    1.734124e-23
1.319282e-01    1.661104e-23
1.349764e-01    1.662221e-23
1.380950e-01    1.748728e-23
1.412856e-01    1.933331e-23
1.445501e-01    2.213537e-23
1.478898e-01    2.503840e-23
1.513069e-01    2.594549e-23
1.548028e-01    2.423078e-23
1.583796e-01    2.193704e-23
1.620389e-01    2.059081e-23
1.657828e-01    2.064675e-23
1.696131e-01    2.230648e-23
1.735320e-01    2.567658e-23
1.775415e-01    2.966504e-23
1.816436e-01    3.057586e-23
1.858404e-01    2.764945e-23
1.901342e-01    2.479261e-23
1.927040e-01    2.402588e-23
1.953085e-01    2.407776e-23
1.979482e-01    2.501635e-23
2.006235e-01    2.691876e-23
2.033351e-01    2.977577e-23
2.060833e-01    3.315751e-23
2.088686e-01    3.573206e-23
2.116915e-01    3.585533e-23
2.145527e-01    3.366348e-23
2.174524e-01    3.088468e-23
2.203914e-01    2.880386e-23
2.233701e-01    2.788531e-23
2.263891e-01    2.826613e-23
2.294488e-01    3.005039e-23
2.325499e-01    3.328885e-23
2.356930e-01    3.750041e-23
2.388785e-01    4.071386e-23
2.421070e-01    4.035020e-23
2.453793e-01    3.706670e-23
2.486957e-01    3.366922e-23
2.520569e-01    3.168879e-23
2.554636e-01    3.152712e-23
2.589163e-01    3.334410e-23
2.624157e-01    3.726017e-23
2.659624e-01    4.262218e-23
2.695570e-01    4.624069e-23
2.732002e-01    4.454327e-23
2.768926e-01    3.994565e-23
2.806350e-01    3.640354e-23
2.844279e-01    3.527965e-23
2.871554e-01    3.611522e-23
2.899090e-01    3.839797e-23
2.926891e-01    4.211995e-23
2.954958e-01    4.675624e-23
2.983294e-01    5.053778e-23
3.011902e-01    5.099130e-23
3.040785e-01    4.794653e-23
3.069945e-01    4.381588e-23
3.099383e-01    4.057231e-23
3.129104e-01    3.893818e-23
3.159110e-01    3.909141e-23
3.189405e-01    4.113800e-23
3.219989e-01    4.515157e-23
3.250867e-01    5.067748e-23
3.282040e-01    5.553951e-23
3.313513e-01    5.614263e-23
3.345288e-01    5.220881e-23
3.377367e-01    4.727650e-23
3.409754e-01    4.385746e-23
3.442452e-01    4.268800e-23
3.475463e-01    4.393773e-23
3.508791e-01    4.773651e-23
3.542438e-01    5.381678e-23
3.576408e-01    5.992471e-23
3.610703e-01    6.119477e-23
3.645328e-01    5.656014e-23
3.680285e-01    5.074811e-23
3.715576e-01    4.704881e-23
3.751206e-01    4.629152e-23
3.787178e-01    4.867450e-23
3.815347e-01    5.278435e-23
3.843726e-01    5.854574e-23
3.872317e-01    6.431834e-23
3.901120e-01    6.678739e-23
3.930136e-01    6.413077e-23
3.959369e-01    5.875517e-23
3.988820e-01    5.384900e-23
4.018489e-01    5.086026e-23
4.048379e-01    5.014621e-23
4.078490e-01    5.181222e-23
4.108828e-01    5.595347e-23
4.139389e-01    6.229914e-23
4.170179e-01    6.899098e-23
4.201197e-01    7.178354e-23
4.232446e-01    6.832286e-23
4.263927e-01    6.197415e-23
4.295643e-01    5.667081e-23
4.327594e-01    5.391963e-23
4.359783e-01    5.402653e-23
4.392212e-01    5.712274e-23
4.424882e-01    6.323531e-23
4.457794e-01    7.122713e-23
4.490952e-01    7.674457e-23
4.524356e-01    7.481851e-23
4.558009e-01    6.782831e-23
4.591912e-01    6.137485e-23
4.626067e-01    5.793299e-23
4.660476e-01    5.799067e-23
4.695142e-01    6.170635e-23
4.730064e-01    6.902231e-23
4.758811e-01    7.642485e-23
4.787732e-01    8.158202e-23
4.816829e-01    8.072150e-23
4.846103e-01    7.481073e-23
4.875554e-01    6.809080e-23
4.905185e-01    6.325612e-23
4.934996e-01    6.111337e-23
4.964987e-01    6.182023e-23
4.995162e-01    6.548558e-23
5.025519e-01    7.207722e-23
5.056062e-01    8.044794e-23
5.086789e-01    8.664063e-23
5.117704e-01    8.576388e-23
5.148805e-01    7.894982e-23
5.180097e-01    7.152018e-23
5.211578e-01    6.657888e-23
5.243251e-01    6.492763e-23
5.275116e-01    6.671912e-23
5.307176e-01    7.206768e-23
5.339429e-01    8.056820e-23
5.371879e-01    8.936080e-23
