pl_hostname,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
Kepler-976,Transit,105.9564148,,,,1020.,0.87,2016-05-10,
Kepler-936,Transit,10.56134221,,,,687.,0.92,2016-05-10,
Kepler-361,Transit,55.188023,0.3,,,,1.07,2014-05-14,
Kepler-361,Transit,8.486616,0.086,,,,1.07,2014-05-14,
Kepler-1307,Transit,18.01621096,,,,1396.,1.06,2016-05-10,
Kepler-1562,Transit,64.2737752,,,,1315.,1.02,2016-05-10,
Kepler-403,Transit,13.61159129,,,,,,2016-05-10,
Kepler-403,Transit,54.280749,0.297,,,,,2014-05-14,
Kepler-403,Transit,7.031462,0.076,,,,,2014-05-14,
Kepler-960,Transit,3.12686223,,,,298.,0.77,2016-05-10,
Kepler-1263,Transit,4.55139967,,,,695.,0.84,2016-05-10,
Kepler-219,Transit,4.585512,0.057,,,,,2014-05-14,
Kepler-219,Transit,47.903645,0.272,,,,,2014-05-14,
Kepler-219,Transit,22.714613,0.165,,,,,2014-05-14,
Kepler-1436,Transit,9.705716,,,,1142.,1.06,2016-05-10,
Kepler-140,Transit,91.353282,0.414,,,,,2014-05-14,
Kepler-140,Transit,3.25427,0.045,,,,,2014-05-14,
Kepler-1598,Transit,4.34195123,,,,734.,1.07,2016-05-10,
Kepler-742,Transit,8.36086824,,,,499.,0.76,2016-05-10,
Kepler-318,Transit,11.815007,0.105,,,,1.05,2014-05-14,
Kepler-318,Transit,4.662715,0.056,,,,1.05,2014-05-14,
Kepler-1337,Transit,24.4002549,,,,588.,0.7,2016-05-10,
Kepler-1175,Transit,37.94563,,,,1244.,0.9,2016-05-10,
Kepler-1011,Transit,5.75322197,,,,860.,0.91,2016-05-10,
Kepler-654,Transit,13.72465129,,,,661.,1.04,2016-05-10,
Kepler-221,Transit,18.369917,0.13,,,,0.72,2014-05-14,
Kepler-221,Transit,2.795906,0.037,,,,0.72,2014-05-14,
Kepler-221,Transit,5.690586,0.059,,,,0.72,2014-05-14,
Kepler-221,Transit,10.04156,0.087,,,,0.72,2014-05-14,
Kepler-616,Transit,90.4113556,,,,1019.,0.98,2016-05-10,
Kepler-616,Transit,9.99761851,,,,1019.,0.98,2016-05-10,
Kepler-1557,Transit,3.74032496,,,,1532.,1.11,2016-05-10,
Kepler-655,Transit,46.4063358,,,,783.,1.15,2016-05-10,
Kepler-409,Transit,68.9584,,,0.008,,0.92,2014-05-14,
Kepler-148,Transit,4.180043,0.05,,,,,2014-05-14,
Kepler-148,Transit,1.729366,0.028,,,,,2014-05-14,
Kepler-148,Transit,51.84688575,,,,,,2016-05-10,
KOI-13,Transit,1.763588,0.03641,0.00064,9.28,,1.72,2015-10-15,
Kepler-898,Transit,5.8706191,,,,479.,0.65,2016-05-10,
Kepler-990,Transit,0.53835431,,,,933.,1.05,2016-05-10,
Kepler-990,Transit,9.91723428,,,,933.,1.05,2016-05-10,
Kepler-220,Transit,4.159807,0.046,,,,,2014-05-14,
Kepler-220,Transit,45.902733,0.226,,,,,2014-05-14,
Kepler-220,Transit,28.122397,0.163,,,,,2014-05-14,
Kepler-220,Transit,9.034199,0.076,,,,,2014-05-14,
Kepler-178,Transit,20.552802,0.142,,,,,2014-05-14,
Kepler-178,Transit,9.576694,0.085,,,,,2014-05-14,
Kepler-178,Transit,96.678988,0.397,,,,,2014-05-14,
Kepler-1056,Transit,27.495606,,,,971.,1.12,2016-05-10,
Kepler-1336,Transit,5.77721211,,,,822.,0.94,2016-05-10,
Kepler-1336,Transit,23.198681,,,,822.,0.94,2016-05-10,
Kepler-1361,Transit,3.57554956,,,,404.,0.83,2016-05-10,
Kepler-1558,Transit,3.50470358,,,,343.,0.83,2016-05-10,
Kepler-47,Transit,49.532,0.2962,0.035,2.,1500.,1.05,2014-05-14,
Kepler-47,Transit,303.137,0.991,0.411,28.,1500.,1.05,2014-05-14,
Kepler-1620,Transit,101.951829,,,,773.,1.15,2016-05-10,
Kepler-1509,Transit,25.4338197,,,,1277.,1.,2016-05-10,
Kepler-222,Transit,10.08881,0.091,,,,,2014-05-14,
Kepler-222,Transit,3.936981,0.048,,,,,2014-05-14,
Kepler-222,Transit,28.081912,0.18,,,,,2014-05-14,
Kepler-894,Transit,9.803224,,,,1090.,0.87,2016-05-10,
Kepler-1344,Transit,4.7683049,,,,851.,1.09,2016-05-10,
Kepler-1306,Transit,16.29595382,,,,1130.,0.98,2016-05-10,
Kepler-1140,Transit,24.0862707,,,,657.,0.76,2016-05-10,
Kepler-902,Transit,40.1099547,,,,904.,0.95,2016-05-10,
Kepler-490,Transit,3.26869515,,,,1249.,1.08,2016-05-10,
WASP-113,Transit,4.54216875,0.05885,0.,0.475,360.,1.32,2016-07-18,
Kepler-309,Transit,105.356383,0.401,,,,,2014-05-14,
Kepler-309,Transit,5.923653,0.059,,,,,2014-05-14,
Kepler-87,Transit,191.2318,0.676,0.039,0.02,,1.1,2014-05-14,
Kepler-87,Transit,114.73635,0.481,0.036,1.02,,1.1,2014-05-14,
Kepler-1184,Transit,53.5991044,,,,1193.,1.05,2016-05-10,
Kepler-1228,Transit,0.57736958,,,,547.,0.78,2016-05-10,
Kepler-1259,Transit,0.66308526,,,,704.,0.8,2016-05-10,
Kepler-1022,Transit,10.99469878,,,,455.,0.71,2016-05-10,
Kepler-938,Transit,52.6298417,,,,861.,0.92,2016-05-10,
KIC 10001893,Orbital Brightness Modulation,0.2197,,,,,,2014-10-03,
KIC 10001893,Orbital Brightness Modulation,0.81161,,,,,,2014-10-03,
KIC 10001893,Orbital Brightness Modulation,0.32528,,,,,,2014-10-03,
HD 141399,Radial Velocity,94.44,0.415,0.04,0.451,36.2,1.07,2016-02-25,27.65
HD 141399,Radial Velocity,5000.,5.,0.26,0.66,36.2,1.07,2016-02-25,27.65
HD 141399,Radial Velocity,1069.8,2.09,0.074,1.18,36.2,1.07,2016-02-25,27.65
HD 141399,Radial Velocity,201.99,0.689,0.048,1.33,36.2,1.07,2016-02-25,27.65
Kepler-310,Transit,56.47542,0.281,,,,0.85,2014-05-14,
Kepler-310,Transit,13.930698,0.111,,,,0.85,2014-05-14,
Kepler-310,Transit,92.876125,0.392,,,,0.85,2014-05-14,
Kepler-163,Transit,7.810937,0.078,,,,0.96,2014-05-14,
Kepler-163,Transit,21.347262,0.152,,,,0.96,2014-05-14,
Kepler-1229,Transit,86.828989,,,,236.,0.54,2016-05-10,
Kepler-1046,Transit,14.37508035,,,,518.,1.04,2016-05-10,
Kepler-900,Transit,6.9913086,,,,505.,0.78,2016-05-10,
HAT-P-44,Transit,4.301219,0.0507,0.044,0.352,363.,0.94,2014-05-14,
HAT-P-44,Radial Velocity,872.2,1.752,0.494,4.,363.,0.94,2014-05-14,
Kepler-1583,Transit,9.32807355,,,,357.,0.94,2016-05-10,
Kepler-1297,Transit,1.68189002,,,,996.,0.99,2016-05-10,
Kepler-939,Transit,14.878296,,,,1029.,0.88,2016-05-10,
Kepler-1543,Transit,6.96710269,,,,1114.,1.39,2016-05-10,
Kepler-1287,Transit,11.47685909,,,,1027.,0.96,2016-05-10,
Kepler-1443,Transit,2.41811321,,,,475.,1.19,2016-05-10,
Kepler-1397,Transit,47.449955,,,,770.,1.09,2016-05-10,
Kepler-1265,Transit,6.49441289,,,,581.,0.71,2016-05-10,
HD 154345,Radial Velocity,3342.,4.19,0.044,0.947,18.06,,2014-05-14,55.37
Kepler-311,Transit,9.176092,0.087,,,,1.06,2014-05-14,
Kepler-311,Transit,19.738286,0.145,,,,1.06,2014-05-14,
Kepler-1000,Transit,120.0181272,,,,925.,1.4,2016-05-10,
Kepler-1186,Transit,16.07677615,,,,1112.,0.95,2016-05-10,
Kepler-1092,Transit,58.6017925,,,,914.,0.99,2016-05-10,
Kepler-334,Transit,12.758005,0.107,,,,1.,2014-05-14,
Kepler-334,Transit,5.470319,0.061,,,,1.,2014-05-14,
Kepler-334,Transit,25.09849,0.168,,,,1.,2014-05-14,
Kepler-765,Transit,27.6655226,,,,1000.,1.05,2016-05-10,
Kepler-763,Transit,1.19655156,,,,902.,0.84,2016-05-10,
Kepler-267,Transit,6.87745,0.06,,,,0.56,2014-05-14,
Kepler-267,Transit,3.353728,0.037,,,,0.56,2014-05-14,
Kepler-267,Transit,28.464515,0.154,,,,0.56,2014-05-14,
Kepler-337,Transit,3.292781,0.045,,,,0.96,2014-05-14,
Kepler-337,Transit,9.693201,0.093,,,,0.96,2014-05-14,
Kepler-764,Transit,7.33683936,,,,1013.,0.92,2016-05-10,
Kepler-1037,Transit,1.06378867,,,,451.,0.82,2016-05-10,
Kepler-1388,Transit,37.6327084,,,,492.,0.63,2016-05-10,
Kepler-1388,Transit,20.9568158,,,,492.,0.63,2016-05-10,
Kepler-1388,Transit,12.2854603,,,,492.,0.63,2016-05-10,
Kepler-1388,Transit,5.53608151,,,,492.,0.63,2016-05-10,
Kepler-744,Transit,12.06222443,,,,486.,0.94,2016-05-10,
Kepler-565,Transit,4.24374723,,,,1041.,0.98,2016-05-10,
Kepler-1019,Transit,1.41122985,,,,198.,0.7,2016-05-10,
Kepler-102,Transit,5.28696,,,0.001,,0.81,2014-05-14,
Kepler-102,Transit,16.1457,,,0.028,,0.81,2014-05-14,
Kepler-102,Transit,27.4536,,,0.002,,0.81,2014-05-14,
Kepler-102,Transit,10.3117,,,0.012,,0.81,2014-05-14,
Kepler-102,Transit,7.07142,,,0.009,,0.81,2014-05-14,
Kepler-941,Transit,17.42395198,,,,1105.,0.89,2016-05-10,
Kepler-989,Transit,7.96431535,,,,484.,0.82,2016-05-10,
Kepler-1199,Transit,15.0447198,,,,540.,0.94,2016-05-10,
Kepler-1144,Transit,17.14647302,,,,1012.,0.98,2016-05-10,
Kepler-549,Transit,117.040498,,,,648.,0.88,2016-05-10,
Kepler-549,Transit,42.9495649,,,,648.,0.88,2016-05-10,
Kepler-940,Transit,59.6225257,,,,1317.,0.97,2016-05-10,
Kepler-223,Transit,7.38449,,0.078,0.02328,,1.12,2016-08-04,
Kepler-223,Transit,19.72567,,0.051,0.0151,,1.12,2016-08-04,
Kepler-223,Transit,14.78869,,0.037,0.02517,,1.12,2016-08-04,
Kepler-223,Transit,9.84564,,0.15,0.01605,,1.12,2016-08-04,
Kepler-657,Transit,24.54350418,,,,1244.,1.01,2016-05-10,
Kepler-762,Transit,3.7705521,,,,1465.,1.06,2016-05-10,
Kepler-14,Transit,6.790123,,0.035,8.4,980.,1.51,2014-05-14,
HAT-P-13,Transit,2.91625,,0.0133,0.851,214.,1.22,2014-10-15,
HAT-P-13,Radial Velocity,446.27,,0.6616,14.28,214.,1.22,2014-05-16,
Kepler-224,Transit,11.349393,0.089,,,,0.74,2014-05-14,
Kepler-224,Transit,3.132924,0.038,,,,0.74,2014-05-14,
Kepler-224,Transit,5.925003,0.058,,,,0.74,2014-05-14,
Kepler-224,Transit,18.643577,0.124,,,,0.74,2014-05-14,
Kepler-525,Transit,18.68404933,,,,566.,0.95,2016-05-10,
Kepler-1219,Transit,16.10467749,,,,622.,1.25,2016-05-10,
Kepler-656,Transit,1.26025909,,,,867.,0.86,2016-05-10,
Kepler-526,Transit,5.45849832,,,,504.,1.15,2016-05-10,
Kepler-364,Transit,25.745718,0.178,,,,1.2,2014-05-14,
Kepler-364,Transit,59.980627,0.312,,,,1.2,2014-05-14,
Kepler-587,Transit,10.94027841,,,,852.,0.92,2016-05-10,
Kepler-527,Transit,13.28535633,,,,901.,1.28,2016-05-10,
Kepler-994,Transit,1.15116651,,,,170.,0.56,2016-05-10,
Kepler-332,Transit,7.626324,0.07,,,,0.8,2014-05-14,
Kepler-332,Transit,34.21154,0.189,,,,0.8,2014-05-14,
Kepler-332,Transit,15.995622,0.114,,,,0.8,2014-05-14,
Kepler-781,Transit,13.2140732,,,,1036.,0.81,2016-05-10,
Kepler-1146,Transit,2.3522658,,,,694.,0.74,2016-05-10,
Kepler-784,Transit,31.5922646,,,,604.,1.,2016-05-10,
Kepler-1168,Transit,55.8226539,,,,911.,0.87,2016-05-10,
Kepler-225,Transit,18.794234,0.111,,,,,2014-05-14,
Kepler-225,Transit,6.738975,0.056,,,,,2014-05-14,
Kepler-1545,Transit,163.692349,,,,688.,0.84,2016-05-10,
Kepler-1075,Transit,1.52372816,,,,265.,0.56,2016-05-10,
Kepler-623,Transit,9.07097734,,,,811.,0.9,2016-05-10,
Kepler-783,Transit,4.29264638,,,,544.,0.93,2016-05-10,
Kepler-1605,Transit,85.7565495,,,,224.,0.86,2016-05-10,
Kepler-29,Transit,10.3384,,,0.01419,1400.,0.98,2016-04-07,
Kepler-29,Transit,13.2884,,,0.01259,1400.,0.98,2016-04-07,
Kepler-94,Transit,2.50806,,,0.034,,0.81,2014-05-14,
Kepler-94,Radial Velocity,820.3,,,9.836,,0.81,2014-05-14,
Kepler-659,Transit,17.671796,,,,688.,0.79,2016-05-10,
Kepler-617,Transit,1.68269615,,,,150.,0.51,2016-05-10,
Kepler-40,Transit,6.87349,0.08,0.,2.2,2700.,1.48,2014-05-14,
Kepler-362,Transit,10.327186,0.087,,,,0.77,2014-05-14,
Kepler-362,Transit,37.866281,0.207,,,,0.77,2014-05-14,
Kepler-1371,Transit,2.00541269,,,,450.,0.87,2016-05-10,
Kepler-1371,Transit,3.4462039,,,,450.,0.87,2016-05-10,
Kepler-1043,Transit,38.5053398,,,,838.,0.92,2016-05-10,
Kepler-1577,Transit,6.30560247,,,,543.,0.78,2016-05-10,
Kepler-511,Transit,296.637865,,,,448.,1.,2016-05-10,
Kepler-658,Transit,1.28707676,,,,341.,0.63,2016-05-10,
Kepler-272,Transit,2.971353,0.038,,,,0.79,2014-05-14,
Kepler-272,Transit,10.937304,0.091,,,,0.79,2014-05-14,
Kepler-272,Transit,6.057342,0.061,,,,0.79,2014-05-14,
Kepler-125,Transit,4.164389,0.041,,,,0.55,2014-05-14,
Kepler-125,Transit,5.774464,0.051,,,,0.55,2014-05-14,
Kepler-164,Transit,10.945723,0.097,,,,1.11,2014-05-14,
Kepler-164,Transit,28.986769,0.187,,,,1.11,2014-05-14,
Kepler-164,Transit,5.03503,0.058,,,,1.11,2014-05-14,
Kepler-1253,Transit,68.8861915,,,,390.,0.97,2016-05-10,
Kepler-992,Transit,20.16034462,,,,268.,0.8,2016-05-10,
Kepler-981,Transit,4.46975774,,,,913.,0.98,2016-05-10,
Kepler-1395,Transit,3.78470649,,,,507.,1.17,2016-05-10,
Kepler-1284,Transit,0.66407381,,,,852.,0.84,2016-05-10,
Kepler-588,Transit,4.22162536,,,,972.,1.01,2016-05-10,
Kepler-1167,Transit,1.00393374,,,,811.,0.79,2016-05-10,
Kepler-273,Transit,2.936532,0.037,,,,,2014-05-14,
Kepler-273,Transit,8.014927,0.073,,,,,2014-05-14,
Kepler-660,Transit,9.27358194,,,,564.,0.75,2016-05-10,
Kepler-1141,Transit,2.34451194,,,,365.,1.01,2016-05-10,
Kepler-284,Transit,12.699149,0.104,,,,,2014-05-14,
Kepler-284,Transit,37.514456,0.213,,,,,2014-05-14,
Kepler-141,Transit,7.010606,0.067,,,,1.,2014-05-14,
Kepler-141,Transit,3.107675,0.039,,,,1.,2014-05-14,
Kepler-528,Transit,19.78297415,,,,711.,1.01,2016-05-10,
Kepler-1112,Transit,14.36267939,,,,1734.,1.34,2016-05-10,
Kepler-589,Transit,16.54964934,,,,643.,0.88,2016-05-10,
Kepler-782,Transit,158.6853308,,,,412.,0.98,2016-05-10,
Kepler-179,Transit,6.40013,0.064,,,,,2014-05-14,
Kepler-179,Transit,2.735926,0.036,,,,,2014-05-14,
KIC 10525077,Transit,854.083,,,,,1.01,2016-01-05,
Kepler-1049,Transit,3.27346074,,,,129.,0.51,2016-05-10,
Kepler-1578,Transit,1.45088691,,,,1016.,0.9,2016-05-10,
Kepler-165,Transit,15.31299,0.11,,,,,2014-05-14,
Kepler-165,Transit,8.180848,0.072,,,,,2014-05-14,
Kepler-1179,Transit,2.68505749,,,,454.,0.84,2016-05-10,
Kepler-566,Transit,18.42794624,,,,628.,0.83,2016-05-10,
Kepler-17,Transit,1.4857108,0.02591,0.011,2.45,800.,1.16,2014-05-14,
Kepler-1622,Transit,10.8118737,,,,927.,1.31,2016-05-10,
Kepler-811,Transit,23.58447697,,,,847.,1.01,2016-05-10,
Kepler-283,Transit,92.743711,0.341,,,,,2014-05-14,
Kepler-283,Transit,11.008151,0.082,,,,,2014-05-14,
Kepler-129,Transit,82.20017,0.393,,,,1.18,2014-05-14,
Kepler-129,Transit,15.79186,0.131,,,,1.18,2014-05-14,
Kepler-661,Transit,6.02930132,,,,558.,0.7,2016-05-10,
Kepler-550,Transit,8.60010411,,,,563.,0.87,2016-05-10,
Kepler-194,Transit,52.814973,0.275,,,,,2014-05-14,
Kepler-194,Transit,17.308032,0.131,,,,,2014-05-14,
Kepler-194,Transit,2.092281,0.032,,,,,2014-05-14,
Kepler-1415,Transit,0.63642408,,,,1066.,0.89,2016-05-10,
Kepler-1568,Transit,20.925392,,,,883.,1.09,2016-05-10,
Kepler-1151,Transit,65.6478424,,,,763.,0.88,2016-05-10,
Kepler-1367,Transit,1.57409027,,,,357.,0.62,2016-05-10,
Kepler-529,Transit,12.8345022,,,,787.,1.07,2016-05-10,
Kepler-529,Transit,1.98035766,,,,787.,1.07,2016-05-10,
Kepler-226,Transit,5.349555,0.058,,,,0.86,2014-05-14,
Kepler-226,Transit,8.109044,0.076,,,,0.86,2014-05-14,
Kepler-226,Transit,3.940997,0.047,,,,0.86,2014-05-14,
Kepler-815,Transit,8.57503552,,,,1199.,1.25,2016-05-10,
Kepler-22,Transit,289.8623,0.849,0.,0.113,190.,0.97,2014-05-14,
Kepler-1121,Transit,13.15141081,,,,529.,1.29,2016-05-10,
Kepler-369,Transit,14.871572,0.094,,,,0.54,2014-05-14,
Kepler-369,Transit,2.732756,0.03,,,,0.54,2014-05-14,
Kepler-662,Transit,21.67697486,,,,641.,0.79,2016-05-10,
Kepler-969,Transit,34.1731714,,,,411.,0.92,2016-05-10,
Kepler-969,Transit,1.6829346,,,,411.,0.92,2016-05-10,
Kepler-954,Transit,16.78176602,,,,224.,0.82,2016-05-10,
Kepler-663,Transit,4.99678284,,,,1030.,0.86,2016-05-10,
Kepler-1189,Transit,3.78858982,,,,883.,1.11,2016-05-10,
Kepler-1453,Transit,47.1611696,,,,1284.,0.97,2016-05-10,
Kepler-917,Transit,2.97041437,,,,1027.,0.8,2016-05-10,
Kepler-1594,Transit,2.71603809,,,,1100.,1.06,2016-05-10,
Kepler-195,Transit,34.096863,0.197,,,,,2014-05-14,
Kepler-195,Transit,8.307872,0.077,,,,,2014-05-14,
HAT-P-7,Transit,2.2047372,0.03676,0.0016,1.682,320.,1.47,2016-08-18,
Kepler-1069,Transit,23.8990296,,,,435.,0.99,2016-05-10,
Kepler-1588,Transit,7.84931739,,,,658.,0.96,2016-05-10,
Kepler-1191,Transit,5.60014851,,,,876.,0.85,2016-05-10,
Kepler-1590,Transit,7.61760804,,,,900.,1.11,2016-05-10,
Kepler-809,Transit,55.63934,,,,933.,0.99,2016-05-10,
HAT-P-3,Transit,2.899736,0.03866,0.,0.591,138.,0.92,2014-05-14,
Kepler-1541,Transit,8.40691199,,,,414.,0.86,2016-05-10,
Kepler-1644,Transit,21.0907758,,,,592.,0.89,2016-05-10,
Kepler-117,Transit,50.790391,0.2804,0.0323,1.84,1430.,1.13,2014-11-19,
Kepler-117,Transit,18.7959228,0.1445,0.0493,0.094,1430.,1.13,2014-11-19,
Kepler-551,Transit,12.3764661,,,,312.,0.65,2016-05-10,
Kepler-618,Transit,3.59576964,,,,1115.,1.05,2016-05-10,
Kepler-285,Transit,2.633867,0.036,,,,0.85,2014-05-14,
Kepler-285,Transit,6.186676,0.064,,,,0.85,2014-05-14,
Kepler-1102,Transit,51.3285623,,,,986.,0.96,2016-05-10,
HAT-P-11,Transit,4.8878162,0.053,0.198,0.081,38.,0.81,2014-05-14,
Kepler-810,Transit,4.59725385,,,,1554.,1.03,2016-05-10,
Kepler-375,Transit,19.986326,0.141,,,,0.89,2014-05-14,
Kepler-375,Transit,12.125934,0.101,,,,0.89,2014-05-14,
Kepler-482,Transit,56.35418576,,,,290.,0.75,2016-05-10,
Kepler-807,Transit,117.93108781,,,,1312.,1.04,2016-05-10,
Kepler-1040,Transit,201.1214,,,,473.,0.98,2016-05-10,
Kepler-227,Transit,54.418694,0.29,,,,,2014-05-14,
Kepler-227,Transit,9.488015,0.09,,,,,2014-05-14,
Kepler-1637,Transit,6.10960324,,,,506.,1.02,2016-05-10,
Kepler-1530,Transit,5.3227406,,,,552.,0.92,2016-05-10,
Kepler-1530,Transit,2.5904434,,,,552.,0.92,2016-05-10,
Kepler-1515,Transit,214.3114164,,,,504.,1.3,2016-05-10,
Kepler-1215,Transit,4.76703963,,,,701.,0.95,2016-05-10,
Kepler-812,Transit,10.11716531,,,,1482.,1.45,2016-05-10,
Kepler-107,Transit,14.749049,0.123,,,,,2014-05-14,
Kepler-107,Transit,4.901425,0.059,,,,,2014-05-14,
Kepler-107,Transit,7.958203,0.082,,,,,2014-05-14,
Kepler-107,Transit,3.179997,0.044,,,,,2014-05-14,
Kepler-1210,Transit,8.07124073,,,,1155.,0.94,2016-05-10,
Kepler-228,Transit,2.566546,0.038,,,,,2014-05-14,
Kepler-228,Transit,11.094286,0.101,,,,,2014-05-14,
Kepler-228,Transit,4.134444,0.052,,,,,2014-05-14,
Kepler-664,Transit,2.52559332,,,,1386.,1.01,2016-05-10,
Kepler-590,Transit,5.85296257,,,,986.,1.1,2016-05-10,
Kepler-6,Transit,3.2346996,0.04852,,0.668,,1.21,2015-10-15,
Kepler-552,Transit,5.26341577,,,,834.,1.03,2016-05-10,
Kepler-414,Transit Timing Variations,4.7,,,0.011,,0.89,2014-05-28,
Kepler-414,Transit Timing Variations,7.171,,,0.094,,0.89,2014-05-28,
Kepler-1390,Transit,6.48021673,,,,760.,0.98,2016-05-10,
Kepler-1084,Transit,2.05333679,,,,427.,1.12,2016-05-10,
Kepler-153,Transit,46.90232,0.237,,,,,2014-05-14,
Kepler-153,Transit,18.870227,0.129,,,,,2014-05-14,
Kepler-1510,Transit,84.703921,,,,1615.,1.19,2016-05-10,
Kepler-918,Transit,4.85386933,,,,1245.,1.11,2016-05-10,
Kepler-1329,Transit,9.33646594,,,,624.,0.72,2016-05-10,
Kepler-1099,Transit,2.16845259,,,,1209.,1.01,2016-05-10,
Kepler-358,Transit,34.060467,0.21,,,,0.95,2014-05-14,
Kepler-358,Transit,83.488369,0.381,,,,0.95,2014-05-14,
Kepler-432,Transit,52.501129,0.301,0.5134,5.41,870.,1.32,2015-04-30,
Kepler-432,Radial Velocity,406.2,,0.498,2.43,870.,1.32,2015-04-30,
Kepler-286,Transit,1.796302,0.027,,,,,2014-05-14,
Kepler-286,Transit,3.468095,0.042,,,,,2014-05-14,
Kepler-286,Transit,29.221289,0.176,,,,,2014-05-14,
Kepler-286,Transit,5.914323,0.061,,,,,2014-05-14,
Kepler-567,Transit,16.54297375,,,,568.,0.84,2016-05-10,
Kepler-1138,Transit,3.17060005,,,,1101.,0.95,2016-05-10,
Kepler-1440,Transit,39.859484,,,,685.,0.98,2016-05-10,
Kepler-133,Transit,31.517586,0.204,,,,,2014-05-14,
Kepler-133,Transit,8.129976,0.083,,,,,2014-05-14,
Kepler-553,Transit,4.03046804,,,,725.,0.92,2016-05-10,
Kepler-553,Transit,328.2399546,,,,725.,0.92,2016-05-10,
Kepler-1293,Transit,5.57654784,,,,770.,1.18,2016-05-10,
Kepler-1422,Transit,18.6051942,,,,2081.,1.15,2016-05-10,
Kepler-488,Transit,3.12082923,,,,1157.,1.07,2016-05-10,
Kepler-114,Transit,11.776,,,0.012,,0.56,2014-05-14,
Kepler-114,Transit,8.041,,,0.009,,0.56,2014-05-14,
Kepler-114,Transit,5.188549,0.053,,,,0.56,2014-05-14,
Kepler-101,Transit,6.02976,0.0684,0.,0.01,,1.17,2014-09-25,
Kepler-101,Transit,3.4876812,0.0474,0.086,0.16,,1.17,2014-09-25,
Kepler-1339,Transit,1.34155513,,,,267.,0.94,2016-05-10,
Kepler-229,Transit,41.194912,0.22,,,,,2014-05-14,
Kepler-229,Transit,16.068638,0.117,,,,,2014-05-14,
Kepler-229,Transit,6.252972,0.062,,,,,2014-05-14,
Kepler-568,Transit,11.02347475,,,,126.,0.55,2016-05-10,
Kepler-619,Transit,5.4042722,,,,1111.,1.09,2016-05-10,
Kepler-619,Transit,1.20846503,,,,1111.,1.09,2016-05-10,
Kepler-1645,Transit,16.1779561,,,,844.,1.02,2016-05-10,
Kepler-408,Transit,2.46502,,,0.002,,1.08,2014-05-14,
Kepler-1132,Transit,62.8916228,,,,940.,0.87,2016-05-10,
Kepler-814,Transit,6.1469851,,,,1327.,1.15,2016-05-10,
Kepler-591,Transit,81.1694299,,,,793.,0.97,2016-05-10,
Kepler-813,Transit,19.12947337,,,,840.,0.95,2016-05-10,
Kepler-287,Transit,20.342199,0.145,,,,,2014-05-14,
Kepler-287,Transit,44.851896,0.246,,,,,2014-05-14,
Kepler-339,Transit,10.558345,0.091,,,,0.84,2014-05-14,
Kepler-339,Transit,4.977656,0.055,,,,0.84,2014-05-14,
Kepler-339,Transit,6.988055,0.069,,,,0.84,2014-05-14,
Kepler-808,Transit,0.63133235,,,,321.,0.76,2016-05-10,
Kepler-665,Transit,16.01310205,,,,651.,0.79,2016-05-10,
Kepler-142,Transit,2.024152,0.032,,,,0.99,2014-05-14,
Kepler-142,Transit,41.809118,0.242,,,,0.99,2014-05-14,
Kepler-142,Transit,4.761702,0.057,,,,0.99,2014-05-14,
Kepler-919,Transit,11.04603384,,,,1219.,1.15,2016-05-10,
Kepler-466,Transit,3.70921385,,,,436.,1.04,2016-05-10,
Kepler-466,Transit,51.07926307,,,,436.,1.04,2016-05-10,
Kepler-230,Transit,91.773242,0.38,,,,,2014-05-14,
Kepler-230,Transit,32.625555,0.191,,,,,2014-05-14,
Kepler-1281,Transit,3.11602791,,,,1090.,0.87,2016-05-10,
Kepler-849,Transit,394.6244904,,,,747.,1.23,2016-05-10,
Kepler-1638,Transit,259.33683,,,,879.,0.97,2016-05-10,
Kepler-1421,Transit,6.9131112,,,,675.,1.25,2016-05-10,
Kepler-530,Transit,39.30941904,,,,464.,0.97,2016-05-10,
Kepler-569,Transit,34.18890521,,,,645.,0.95,2016-05-10,
Kepler-447,Transit,7.79430132,0.0769,0.123,1.37,,1.,2015-02-19,
Kepler-852,Transit,44.9309804,,,,854.,1.19,2016-05-10,
Kepler-850,Transit,7.19303878,,,,1535.,1.06,2016-05-10,
Kepler-424,Radial Velocity,223.3,0.73,,6.97,,1.01,2014-10-03,
Kepler-424,Transit,3.3118644,0.044,,1.03,,1.01,2014-10-03,
Kepler-299,Transit,2.927128,0.04,,,,0.97,2014-05-14,
Kepler-299,Transit,15.054786,0.118,,,,0.97,2014-05-14,
Kepler-299,Transit,38.285489,0.22,,,,0.97,2014-05-14,
Kepler-299,Transit,6.885875,0.07,,,,0.97,2014-05-14,
Kepler-300,Transit,40.714955,0.232,,,,0.94,2014-05-14,
Kepler-300,Transit,10.446347,0.094,,,,0.94,2014-05-14,
Kepler-110,Transit,31.719775,0.198,,,,,2014-05-14,
Kepler-110,Transit,12.691112,0.107,,,,,2014-05-14,
Kepler-532,Transit,12.92491623,,,,325.,0.87,2016-05-10,
Kepler-1001,Transit,14.30511983,,,,1009.,0.9,2016-05-10,
Kepler-1050,Transit,21.1284569,,,,555.,1.09,2016-05-10,
Kepler-1050,Transit,15.3787546,,,,555.,1.09,2016-05-10,
Kepler-1398,Transit,4.13827595,,,,793.,1.13,2016-05-10,
