pl_hostname,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
HATS-28,Transit,3.1810781,0.04131,0.202,0.672,521.,0.93,2016-06-09,
HD 142,Radial Velocity,349.7,1.02,0.17,1.25,25.64,1.23,2014-08-21,39.
HD 142,Radial Velocity,6005.,6.8,0.21,5.3,25.64,1.23,2014-08-21,39.
GJ 832,Radial Velocity,3657.,3.56,0.08,0.68,4.94,0.45,2014-06-25,202.53
GJ 832,Radial Velocity,35.68,0.163,0.18,0.017,4.94,0.45,2014-06-25,202.53
RR Cae,Eclipse Timing Variations,4343.5,5.3,0.,4.2,,0.44,2015-08-27,
HD 216435,Radial Velocity,1311.,2.56,0.07,1.26,33.29,1.3,2014-07-23,30.04
HD 156411,Radial Velocity,842.2,1.88,0.22,0.74,55.1,1.25,2014-06-25,18.15
HD 48265,Radial Velocity,762.,1.6,0.24,1.2,87.41,1.22,2015-03-26,11.44
WASP-88,Transit,4.954,0.06431,0.,0.56,,1.45,2014-05-14,
HD 41004 B,Radial Velocity,1.3283,,0.081,18.37,43.03,0.4,2014-12-03,23.24
HD 41004 A,Radial Velocity,963.,,0.74,2.54,43.03,0.7,2014-12-03,23.24
WASP-95,Transit,2.184673,0.03416,0.,1.13,,1.11,2014-05-14,
HATS-17,Transit,16.254611,0.1308,0.029,1.338,339.,1.13,2016-03-24,
WASP-96,Transit,3.4252602,0.0453,0.,0.48,,1.06,2014-05-14,
HD 117618,Radial Velocity,25.827,0.176,0.42,0.178,38.02,1.08,2014-05-14,26.3
GJ 1132,Transit,1.62893,,0.,0.0051,12.04,0.18,2015-11-12,83.07
KELT-10,Transit,4.1662739,0.0525,,0.679,183.,1.11,2016-04-28,
GJ 674,Radial Velocity,4.6938,0.039,0.2,0.035,4.54,0.35,2014-05-14,220.43
HATS-27,Transit,4.637038,0.0611,0.581,0.53,840.,1.42,2016-06-09,
HIP 70849,Radial Velocity,17337.5,20.25,0.715,9.,23.98,,2014-05-14,41.71
HD 152079,Radial Velocity,2097.,3.2,0.6,3.,85.18,,2014-05-14,11.74
HD 148156,Radial Velocity,1027.,2.45,0.52,0.85,53.05,1.22,2014-05-14,18.85
WASP-120,Transit,3.6112706,0.0514,0.057,4.85,437.,1.39,2016-06-03,
WASP-18,Transit,0.94145299,0.02026,0.0092,10.43,105.49,1.28,2014-05-14,9.48
WASP-19,Transit,0.78883899,0.01634,0.002,1.069,250.,0.9,2016-08-18,
Kapteyn,Radial Velocity,121.54,0.311,0.23,0.022,3.92,0.28,2014-06-04,255.26
HD 143361,Radial Velocity,1057.,2.,0.15,3.12,59.35,0.95,2014-05-14,16.85
HD 85512,Radial Velocity,58.43,0.26,0.11,0.011,11.15,0.69,2015-04-16,89.67
HD 153950,Radial Velocity,499.4,1.28,0.34,2.73,51.87,1.12,2014-05-14,19.28
HD 83443,Radial Velocity,2.985698,0.0406,0.012,0.398,43.53,0.9,2014-05-14,22.97
HD 159868,Radial Velocity,352.3,1.,0.15,0.73,52.72,1.09,2014-05-14,18.97
HD 159868,Radial Velocity,1178.4,2.25,0.01,2.1,52.72,1.09,2014-05-14,18.97
HD 20794,Radial Velocity,40.114,0.2036,0.,0.0076,6.06,0.7,2015-08-27,165.02
HD 20794,Radial Velocity,18.315,0.1207,0.,0.0085,6.06,0.7,2015-08-27,165.02
HD 20794,Radial Velocity,90.309,0.3499,0.,0.015,6.06,0.7,2015-08-27,165.02
Lupus-TR-3,Transit,3.91405,0.0464,0.,0.81,2000.,0.87,2014-05-14,
WASP-23,Transit,2.9444256,0.0376,0.062,0.884,,0.78,2014-05-14,
HD 166724,Radial Velocity,5144.,5.42,0.734,3.53,42.99,0.81,2014-05-14,23.26
KELT-14,Transit,1.7100566,0.03005,0.,1.284,266.,1.24,2016-06-03,
WASP-42,Transit,4.9816819,0.0561,,0.527,160.,0.95,2016-02-25,
WASP-129,Transit,5.748145,0.0628,0.096,1.,246.,1.,2016-05-05,
WASP-4,Transit,1.33823251,,0.,1.216,300.,0.89,2015-08-27,
HD 27631,Radial Velocity,2208.,3.25,0.12,1.45,44.54,0.94,2014-05-14,22.45
HD 75289,Radial Velocity,3.509267,0.0482,0.034,0.467,28.94,1.21,2015-04-16,34.55
HIP 74890,Radial Velocity,822.3,2.1,0.07,2.4,91.49,1.74,2016-03-17,10.93
HD 73526,Radial Velocity,188.9,0.65,0.29,2.25,94.61,1.01,2014-05-14,10.57
HD 73526,Radial Velocity,379.1,1.03,0.28,2.25,94.61,1.01,2014-05-14,10.57
WASP-5,Transit,1.6284279,0.0267,0.038,1.58,300.,0.96,2014-10-29,
HD 8535,Radial Velocity,1313.,2.45,0.15,0.68,52.5,1.13,2015-04-16,19.03
HD 109749,Radial Velocity,5.24,0.0635,0.01,0.28,59.03,1.2,2014-05-14,16.94
HD 102365,Radial Velocity,122.1,0.46,0.34,0.05,9.24,0.85,2014-05-14,108.23
HD 125595,Radial Velocity,9.6737,0.0809,0.,0.041,27.45,,2014-05-14,36.43
HD 162020,Radial Velocity,8.428198,0.074,0.277,14.4,31.26,0.75,2014-05-14,31.99
WASP-29,Transit,3.922727,0.0457,0.03,0.244,70.,0.82,2014-05-14,
HD 70642,Radial Velocity,2068.,3.23,0.034,1.97,28.76,1.05,2015-03-26,34.77
2MASS J12073346-3932539,Imaging,,46.,,4.,52.4,0.02,2014-05-14,
HD 6434,Radial Velocity,22.017,0.148,0.146,0.44,40.32,0.89,2015-11-19,24.8
2MASS J02192210-3925225,Imaging,,156.,,13.9,39.4,0.11,2015-05-14,
WASP-7,Transit,4.954658,0.0618,0.,0.96,140.,1.28,2014-05-14,
HD 147513,Radial Velocity,528.4,1.32,0.26,1.21,12.87,1.11,2014-05-14,77.69
WASP-121,Transit,1.2749255,0.02544,0.,1.183,270.,1.35,2016-06-23,
WASP-63,Transit,4.37809,0.0574,0.22,0.38,330.,1.32,2014-05-14,
HD 4113,Radial Velocity,526.62,1.28,0.903,1.56,44.05,0.99,2014-12-03,22.7
HIP 105854,Radial Velocity,184.2,0.81,0.02,8.2,84.6,2.1,2014-06-11,11.82
HD 114613,Radial Velocity,3827.,5.16,0.25,0.48,20.48,1.36,2014-05-14,48.83
HD 187085,Radial Velocity,986.,2.05,0.47,0.75,44.98,1.22,2014-07-23,22.23
HD 208487,Radial Velocity,130.08,0.524,0.24,0.52,44.,1.13,2014-11-05,
WASP-45,Transit,3.126096,0.0405,,1.002,,0.9,2015-12-03,
WASP-133,Transit,2.176423,0.0345,0.17,1.16,547.,1.16,2016-05-05,
GQ Lup,Imaging,,100.,,20.,139.,0.7,2014-05-14,
HD 117207,Radial Velocity,2597.,3.79,0.144,1.88,33.01,1.08,2014-05-14,30.29
HD 190647,Radial Velocity,1038.1,2.07,0.18,1.9,54.23,1.1,2014-05-14,18.44
HIP 67851,Radial Velocity,88.9,0.46,0.05,1.38,,1.63,2015-06-04,15.16
HIP 67851,Radial Velocity,2131.8,3.82,0.17,5.98,,1.63,2015-06-04,15.16
HD 114386,Radial Velocity,937.7,1.65,0.23,1.24,28.04,0.68,2014-05-14,35.66
WASP-8,Transit,8.158715,0.0801,0.31,2.244,87.,1.03,2014-05-14,
WASP-8,Radial Velocity,4323.,5.28,0.,9.45,87.,1.03,2014-05-14,
MOA 2009-BLG-266L,Microlensing,2774.,3.2,,0.033,3040.,0.56,2014-10-29,
GJ 667 C,Radial Velocity,62.24,0.213,0.02,0.008,6.8,0.33,2014-05-14,146.3
GJ 667 C,Radial Velocity,39.026,0.156,0.03,0.008,6.8,0.33,2014-05-14,146.3
GJ 667 C,Radial Velocity,28.14,0.125,0.02,0.012,6.8,0.33,2014-05-14,146.3
GJ 667 C,Radial Velocity,7.2004,0.0505,0.13,0.018,6.8,0.33,2014-05-14,146.3
GJ 667 C,Radial Velocity,256.2,0.549,0.08,0.014,6.8,0.33,2014-05-14,146.3
WASP-66,Transit,4.086052,0.0546,0.11,2.32,380.,1.3,2014-05-14,
MOA 2008-BLG-310L,Microlensing,,1.25,,0.23,6000.,0.67,2014-10-29,
OGLE 2008-BLG-92L,Microlensing,,18.,,0.18,8100.,0.71,2014-10-29,
OGLE 2005-BLG-71L,Microlensing,,3.6,,3.8,3200.,0.46,2014-10-29,
HD 16417,Radial Velocity,17.24,0.14,0.2,0.0696,25.54,1.2,2014-05-14,39.16
HD 73267,Radial Velocity,1260.,2.198,0.256,3.06,54.91,0.89,2015-03-26,18.21
WASP-98,Transit,2.96264036,0.03762,,0.922,,0.81,2016-08-04,
HD 131399 A,Imaging,200887.5,82.,0.35,4.,98.,1.82,2016-07-18,
WASP-94 A,Transit,3.9501907,0.055,0.13,0.452,180.,1.45,2014-10-03,
WASP-94 B,Radial Velocity,2.00839,0.0335,0.,0.618,180.,1.24,2014-10-03,
MOA 2009-BLG-387L,Microlensing,1982.,1.82,,2.56,5690.,0.19,2015-06-04,
HD 50499,Radial Velocity,2482.7,3.86,0.23,1.71,47.26,1.24,2014-12-17,21.16
HD 20868,Radial Velocity,380.85,0.947,0.75,1.99,48.9,0.78,2014-11-05,20.42
HD 93083,Radial Velocity,143.58,0.477,0.14,0.37,28.9,0.7,2014-05-14,34.6
HD 181720,Radial Velocity,956.,1.78,0.26,0.37,55.93,0.92,2014-07-23,17.88
WASP-123,Transit,2.9776412,0.04263,0.,0.899,214.,1.17,2016-06-03,
