pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
HD 190647,b,Radial Velocity,1038.10000000,2.070000,0.180000,1.90000,54.23,1.10,2014-05-14,18.44
HIP 67851,b,Radial Velocity,88.90000000,0.460000,0.050000,1.38000,65.96,1.63,2015-06-04,15.16
HIP 67851,c,Radial Velocity,2131.80000000,3.820000,0.170000,5.98000,65.96,1.63,2015-06-04,15.16
HD 114386,b,Radial Velocity,937.70000000,1.650000,0.230000,1.24000,28.04,0.68,2014-05-14,35.66
WASP-8,c,Radial Velocity,4323.00000000,5.280000,0.000000,9.45000,87.00,1.03,2014-05-14,
WASP-8,b,Transit,8.15871500,0.080100,0.310000,2.24400,87.00,1.03,2014-05-14,
MOA-2009-BLG-266L,b,Microlensing,2774.00000000,3.200000,,0.03300,3040.00,0.56,2014-10-29,
GJ 667 C,f,Radial Velocity,39.02600000,0.156000,0.030000,0.00800,6.80,0.33,2014-05-14,146.30
GJ 667 C,c,Radial Velocity,28.14000000,0.125000,0.020000,0.01200,6.80,0.33,2014-05-14,146.30
GJ 667 C,e,Radial Velocity,62.24000000,0.213000,0.020000,0.00800,6.80,0.33,2014-05-14,146.30
GJ 667 C,b,Radial Velocity,7.20040000,0.050500,0.130000,0.01800,6.80,0.33,2014-05-14,146.30
GJ 667 C,g,Radial Velocity,256.20000000,0.549000,0.080000,0.01400,6.80,0.33,2014-05-14,146.30
WASP-66,b,Transit,4.08605200,0.054600,0.110000,2.32000,380.00,1.30,2014-05-14,
MOA-2008-BLG-310L,b,Microlensing,,1.610000,,0.07362,7700.00,0.21,2017-08-03,
OGLE-2008-BLG-092L,b,Microlensing,,18.000000,,0.18000,8100.00,0.71,2014-10-29,
OGLE-2005-BLG-071L,b,Microlensing,,3.600000,,3.80000,3200.00,0.46,2014-10-29,
HD 16417,b,Radial Velocity,17.24000000,0.140000,0.200000,0.06960,25.54,1.20,2014-05-14,39.16
HD 73267,b,Radial Velocity,1260.00000000,2.198000,0.256000,3.06000,54.91,0.89,2015-03-26,18.21
WASP-98,b,Transit,2.96264036,0.037620,,0.92200,,0.81,2016-08-04,
WASP-94 A,b,Transit,3.95019070,0.055000,0.130000,0.45200,180.00,1.45,2014-10-03,
WASP-94 B,b,Radial Velocity,2.00839000,0.033500,0.000000,0.61800,180.00,1.24,2014-10-03,
MOA-2009-BLG-387L,b,Microlensing,1982.00000000,1.820000,,2.56000,5690.00,0.19,2015-06-04,
HD 50499,b,Radial Velocity,2482.70000000,3.860000,0.230000,1.71000,47.26,1.24,2014-12-17,21.16
HATS-53,b,Transit,3.85377680,0.047530,0.330000,0.59500,613.00,0.96,2018-01-05,
HD 20868,b,Radial Velocity,380.85000000,0.947000,0.750000,1.99000,48.90,0.78,2014-11-05,20.42
HD 93083,b,Radial Velocity,143.58000000,0.477000,0.140000,0.37000,28.90,0.70,2014-05-14,34.60
HD 147873,b,Radial Velocity,116.59600000,0.522000,0.207000,5.14000,104.93,1.38,2016-11-10,9.53
HD 147873,c,Radial Velocity,491.54000000,1.360000,0.230000,2.30000,104.93,1.38,2016-11-10,9.53
HD 181720,b,Radial Velocity,956.00000000,1.780000,0.260000,0.37000,55.93,0.92,2014-07-23,17.88
WASP-123,b,Transit,2.97764120,0.042630,0.000000,0.89900,214.00,1.17,2016-06-03,
WASP-64,b,Transit,1.57329180,0.026480,0.000000,1.27100,350.00,1.00,2014-05-14,
GJ 433,b,Radial Velocity,7.37090000,0.058000,0.080000,0.01800,9.04,0.48,2014-05-14,110.65
HD 47536,b,Radial Velocity,712.13000000,1.930000,0.200000,7.32000,121.36,0.91,2015-03-26,8.24
OGLE-2007-BLG-368L,b,Microlensing,,3.300000,,0.06000,5900.00,0.64,2014-11-05,
WASP-15,b,Transit,3.75206560,0.049900,0.000000,0.54200,,1.18,2014-05-14,
MOA-2012-BLG-505L,b,Microlensing,,0.900000,,0.02108,7210.00,0.10,2017-06-22,
HD 114729,b,Radial Velocity,1114.00000000,2.110000,0.167000,0.95000,35.00,1.00,2014-05-14,28.57
OGLE-2016-BLG-0263L,b,Microlensing,,5.400000,,4.10000,6500.00,0.13,2017-09-28,
HD 205739,b,Radial Velocity,279.80000000,0.896000,0.270000,1.37000,90.33,1.22,2014-09-25,11.07
OGLE-2013-BLG-0102L,b,Microlensing,,0.800000,,12.56900,3040.00,0.10,2015-01-29,
HD 45364,c,Radial Velocity,342.85000000,0.897200,0.097400,0.65790,32.58,0.82,2014-05-14,30.69
HD 45364,b,Radial Velocity,226.93000000,0.681300,0.168400,0.18720,32.58,0.82,2014-05-14,30.69
MOA-2010-BLG-477L,b,Microlensing,,2.000000,,1.50000,2300.00,0.67,2014-10-29,
GJ 3341,b,Radial Velocity,14.20700000,0.089000,0.310000,0.02080,23.16,0.47,2014-12-03,43.18
HATS-52,b,Transit,1.36665436,0.024980,0.246000,2.24000,631.00,1.11,2018-01-05,
