pl_hostname,ra,dec
HD 66428,120.869438,-1.162709
WASP-74,304.538823,-1.075676
K2-7,167.093771,-1.065755
CoRoT-7,100.956125,-1.063033
CoRoT-7,100.956125,-1.063033
75 Cet,38.039253,-1.034896
24 Sex,155.868210,-0.902244
24 Sex,155.868210,-0.902244
HD 192263,303.499359,-0.866877
HIP 97233,296.421967,-0.696645
CoRoT-4,102.194663,-0.672774
HD 217786,345.784180,-0.429622
K2-8,169.793665,-0.284375
HD 130322,221.886368,-0.281476
CoRoT-19,97.033582,-0.170681
WASP-54,205.454308,-0.128076
CoRoT-18,98.172410,-0.031586
K2-9,176.264468,0.005301
HD 164509,270.380127,0.104556
CoRoT-3,292.055263,0.121820
CoRoT-20,97.720408,0.226919
HIP 116454,353.955353,0.445516
K2-19,174.960319,0.603575
K2-19,174.960319,0.603575
CoRoT-10,291.063708,0.746143
WASP-71,29.263338,0.758834
HD 5319,13.755836,0.789553
HD 5319,13.755836,0.789553
CoRoT-5,101.277254,0.815239
WASP-37,221.943987,1.064966
HD 38529,86.645470,1.168193
HD 38529,86.645470,1.168193
WASP-32,3.961682,1.200451
K2-27,171.515165,1.230738
CoRoT-2,291.777056,1.383714
CoRoT-8,291.588518,1.426452
GJ 328,133.781754,1.546508
K2-10,172.121957,1.690636
HD 95089,164.698898,1.729216
HD 70573,125.708135,1.859323
WASP-84,131.107099,1.860033
WASP-82,72.660671,1.893921
K2-11,169.042002,1.986840
HD 149143,248.212708,2.084832
ome Ser,237.573105,2.196509
K2-12,173.192036,2.244884
HD 66141,120.566406,2.334571
WASP-24,227.215586,2.343304
K2-13,170.155528,2.502696
K2-14,178.057026,2.594245
K2-22,169.482818,2.619070
WASP-76,26.632746,2.700539
HD 10442,25.471457,2.704376
HD 12484,30.611374,2.815859
HD 102195,176.426224,2.821483
HD 99492,171.692825,3.006328
HD 102329,176.694351,3.474293
HD 200964,316.666016,3.803119
HD 200964,316.666016,3.803119
HAT-P-26,213.156383,4.059997
K2-15,178.110797,4.254747
HD 175541,283.920349,4.265325
CoRoT-23,279.782615,4.357806
K2-16,175.097258,4.557340
K2-16,175.097258,4.557340
HD 28678,67.856056,4.575287
HD 74156,130.604675,4.578097
HD 74156,130.604675,4.578097
HD 192699,304.025024,4.580795
HAT-P-41,297.322651,4.672421
HAT-P-35,123.250764,4.787023
GJ 1214,258.828837,4.963920
HD 46375,98.302597,5.462925
CoRoT-27,278.495813,5.538462
CoRoT-28,278.688338,5.573730
HD 159243,263.339783,5.700733
HD 159243,263.339783,5.700733
HAT-P-30,123.949894,5.836719
CoRoT-11,280.687263,5.937688
HAT-P-27,222.767436,5.947368
HD 37605,85.007210,6.060579
