pl_hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
HD 208527,875.5,2.1,0.08,9.9,352.11,1.6,2014-05-14,2.84
HD 3651,62.218,0.295,0.596,0.229,11.1,0.88,2014-05-14,
WASP-14,2.243752,0.036,0.091,7.341,160.,1.21,2014-05-14,
HD 108863,443.4,1.4,0.06,2.6,138.5,1.85,2014-05-14,7.22
K2-34,2.995607,0.04419,0.,1.76,377.,1.28,2016-06-03,
K2-30,4.098503,0.04839,0.,0.579,278.,0.9,2016-04-14,
LkCa 15,,18.6,,,,,2015-12-03,
LkCa 15,,14.7,,,,,2015-12-03,
HD 189733,2.2185752,,,,19.25,0.85,2015-04-24,51.94
HD 108874,395.8,1.038,0.082,1.29,68.5,0.95,2014-05-14,
HD 108874,1624.,2.659,0.239,0.99,68.5,0.95,2014-05-14,
2MASS J04414489+2301513,,15.,,7.5,140.,0.02,2014-05-14,
WASP-56,4.617101,0.05458,0.,0.571,255.,1.02,2014-05-14,
HD 79498,1966.1,3.13,0.59,1.34,48.64,,2014-05-14,20.56
alf Ari,380.8,1.2,0.25,1.8,20.21,1.5,2014-05-14,49.48
HD 14067,1455.,3.4,0.533,7.8,163.4,2.4,2014-09-25,6.12
KELT-8,3.24406,0.04571,0.035,0.867,236.,1.21,2015-09-03,
HD 50554,1293.,2.353,0.501,4.954,31.03,1.04,2014-11-19,32.23
HAT-P-20,2.875317,0.0361,0.015,7.246,70.,0.76,2014-05-14,
K2-29,3.2588321,0.04217,0.066,0.73,185.,0.94,2016-03-24,
V830 Tau,4.93,0.057,0.,0.77,131.,1.,2016-06-23,
K2-26,14.5665,0.0962,,,93.,0.56,2016-01-21,
30 Ari B,335.1,0.995,0.289,9.88,39.43,1.16,2014-05-14,25.36
HD 116029,670.,1.78,0.054,2.1,110.62,1.58,2014-05-14,9.04
WASP-59,7.919585,0.0697,0.1,0.863,125.,0.72,2014-05-14,
FU Tau,,800.,,16.,140.,0.05,2016-03-10,
HAT-P-25,3.652836,0.0466,0.032,0.567,297.,1.01,2014-05-14,
HD 12661,262.709,0.8079,0.3768,2.176,37.16,1.02,2014-11-19,26.91
HD 12661,1708.,2.8145,0.031,1.812,37.16,1.02,2014-11-19,26.91
HAT-P-54,3.799847,0.04117,0.074,0.76,135.8,0.65,2015-04-24,
KELT-4 A,2.9895932,0.04317,0.,0.902,210.,1.2,2016-02-25,
HD 97658,9.4903,0.08,0.078,0.024,21.3,0.77,2014-05-14,46.95
HAT-P-55,3.5852467,0.04604,0.139,0.582,480.,1.01,2015-06-17,
GJ 649,598.3,1.135,0.3,0.328,10.32,0.54,2014-05-14,96.9
HD 177830,110.9,0.5137,0.3,0.15,59.03,1.47,2014-05-14,16.94
HD 177830,406.6,1.2218,0.009,1.49,59.03,1.47,2014-05-14,16.94
mu Leo,357.8,1.1,0.09,2.4,40.78,1.5,2014-05-14,24.52
HD 203030,,487.1,,24.09,40.85,,2014-05-14,24.48
HD 164922,1155.,2.11,0.05,0.36,21.92,0.94,2014-05-14,45.61
HD 32963,2372.,3.41,0.07,0.7,35.24,0.94,2016-01-05,28.38
V0391 Peg,1170.,1.7,0.,3.2,1400.,0.5,2015-05-14,
HAT-P-31,5.005425,0.055,0.245,2.171,354.,1.22,2014-05-14,
DH Tau,,330.,,11.,140.,0.33,2014-05-14,
HAT-P-49,2.691548,0.0438,0.,1.73,322.,1.54,2014-05-14,
GJ 436,2.64388312,0.0291,0.13827,0.07,10.23,0.47,2015-02-05,97.73
HD 145457,176.3,0.76,0.112,2.9,126.1,1.9,2014-05-14,7.93
eps CrB,417.9,1.3,0.11,6.7,70.42,1.7,2015-09-10,14.2
HAT-P-56,2.7908327,0.0423,0.246,2.18,310.5,1.3,2015-07-23,
HD 158038,521.,1.52,0.291,1.8,114.15,1.65,2014-05-14,8.76
HD 62509,589.64,1.64,0.02,2.3,10.34,2.1,2015-03-26,96.74
HD 188015,461.2,1.203,0.137,1.5,52.63,1.09,2014-07-23,19.
XO-1,3.94150685,0.049,0.,0.92,172.,1.03,2014-05-14,5.82
55 Cnc,262.,0.788,0.305,0.141,12.53,0.91,2014-10-29,79.8
55 Cnc,,0.01544,,0.02542,12.53,0.91,2016-01-21,79.8
55 Cnc,14.65152,0.115227,0.0034,0.8306,12.53,0.91,2014-10-29,79.8
55 Cnc,4825.,5.503,0.019,3.878,12.53,0.91,2014-10-29,79.8
55 Cnc,44.4175,0.241376,0.02,0.1714,12.53,0.91,2014-10-29,79.8
HD 185269,6.838,0.077,0.3,0.94,47.37,1.28,2014-07-23,21.11
HD 8574,227.,0.757,0.297,1.8,44.2,1.12,2014-05-14,
HAT-P-52,2.7535953,0.03694,0.047,0.818,385.,0.89,2015-11-19,
HIP 109600,232.08,0.706,0.163,2.68,58.6,0.87,2016-02-25,17.12
HD 156668,4.6455,0.05,0.,0.013,24.05,,2014-05-14,41.58
HD 9446,30.052,0.189,0.2,0.7,52.85,1.,2016-03-10,18.92
HD 9446,192.9,0.654,0.06,1.82,52.85,1.,2016-03-10,18.92
HD 164595,40.,0.23,0.088,0.05078,28.93,0.99,2015-09-10,34.57
omi CrB,187.83,0.83,0.191,1.5,84.03,2.13,2015-09-03,11.9
WASP-12,1.091423,0.0229,0.049,1.41,,1.35,2014-05-14,
WASP-135,1.4013794,0.0243,0.,1.9,300.,0.98,2015-12-03,
HD 190360,2915.,4.01,0.313,1.56,15.89,0.96,2014-08-21,62.92
HD 190360,17.111,0.1304,0.237,0.06,15.89,0.96,2014-08-21,62.92
tau Gem,305.5,1.17,0.031,20.6,92.51,2.3,2014-05-14,10.81
HAT-P-17,5584.,5.6,0.39,3.4,90.,0.86,2014-05-14,
HAT-P-17,10.338523,0.0882,0.342,0.534,90.,0.86,2014-05-14,
KELT-6,1276.,2.39,0.21,3.71,222.,1.13,2015-09-03,
KELT-6,7.8455821,0.08,0.029,0.442,222.,1.13,2015-09-03,
WASP-11,3.7224747,0.0435,0.,0.487,121.7,0.83,2014-05-14,
KELT-2 A,4.1137912,0.05496,0.,1.522,124.22,1.31,2014-05-14,8.05
HIP 57274,32.03,0.178,0.05,0.40902,25.87,,2015-04-24,38.65
HIP 57274,8.1352,0.07,0.187,0.0365,25.87,,2015-04-24,38.65
HIP 57274,431.7,1.01,0.27,0.5267,25.87,,2015-03-26,38.65
HD 1605,577.9,1.48,0.078,0.96,84.6,1.31,2015-04-01,11.82
HD 1605,2111.,3.52,0.098,3.48,84.6,1.31,2015-04-01,11.82
WASP-60,4.3050011,0.0531,0.,0.514,400.,1.08,2014-05-14,
WASP-10,3.0927616,0.03781,,3.15,90.,0.75,2014-05-14,
HD 67087,2374.,3.86,0.76,4.85,88.81,1.36,2015-04-01,11.26
HD 67087,352.2,1.08,0.17,3.06,88.81,1.36,2015-04-01,11.26
HD 214823,1877.,3.18,0.154,19.2,97.47,1.22,2016-05-19,10.26
HD 22781,528.07,1.167,0.8191,13.65,31.79,0.75,2014-05-14,31.46
HD 180314,396.03,1.4,0.257,22.,131.75,2.6,2015-09-10,7.59
WASP-1,2.5199454,0.03889,0.,0.854,408.,1.24,2014-05-14,2.45
HAT-P-38,4.640382,0.0523,0.067,0.267,249.,0.89,2014-05-14,
HD 13189,471.6,1.85,0.27,14.,300.3,,2014-05-14,0.54
HAT-P-51,4.2180278,0.05069,0.123,0.309,470.,0.98,2015-11-19,
HAT-P-18,5.508023,0.0559,0.084,0.197,166.,0.77,2014-05-14,
HD 75898,418.2,1.19,0.1,2.51,80.58,1.28,2015-04-16,12.41
KELT-7,2.7347749,0.04415,0.,1.28,129.,1.53,2015-06-04,
HD 155358,194.3,0.64,0.17,0.85,43.4,,2014-05-14,23.04
HD 155358,391.9,1.02,0.16,0.82,43.4,,2014-05-14,23.04
HAT-P-33,3.474474,0.0499,0.,0.762,387.,1.38,2014-05-14,
WASP-13,4.353011,0.05362,0.,0.477,155.,1.09,2014-05-14,
HD 5608,792.6,1.9,0.19,1.4,58.17,1.55,2015-09-03,17.19
HD 87883,2754.,3.6,0.53,1.78,18.06,,2015-04-24,55.37
HD 187123,3.0965828,0.0426,0.0103,0.523,47.92,1.,2014-07-23,20.87
HD 187123,3810.,4.89,0.252,1.99,47.92,1.,2014-07-23,20.87
HD 8673,1634.,3.02,0.723,14.2,38.26,,2014-05-14,26.14
HD 178911 B,71.484,0.339,0.114,7.03,47.,1.01,2014-05-14,
HAT-P-19,4.008778,0.0466,0.067,0.292,215.,0.84,2014-05-14,
HAT-P-28,3.257215,0.0434,0.051,0.626,395.,1.02,2014-05-14,
HD 82886,705.,1.65,0.066,1.3,112.23,1.06,2014-05-14,8.91
HD 5583,139.35,0.53,0.076,5.78,221.,1.01,2016-02-04,
HAT-P-8,3.0763776,0.0487,0.,1.52,230.,1.28,2014-05-14,
kap CrB,1261.94,2.8,0.044,2.,30.5,1.47,2015-10-15,32.79
WASP-3,1.846835,0.03151,0.,1.76,220.,1.24,2014-05-14,
HAT-P-4,3.056536,0.04438,0.,0.671,314.,1.26,2014-05-14,3.19
WTS-1,3.352057,0.047,0.1,4.01,3200.,1.2,2014-05-14,
HD 173416,323.6,1.16,0.21,2.7,134.95,2.,2014-07-09,7.41
Kepler-75,8.8849116,0.0818,0.57,10.1,1140.,0.91,2015-01-29,
HAT-P-5,2.788491,0.04075,0.,1.06,340.,1.16,2014-05-14,
TrES-1,3.030065,0.03925,,0.752,150.,0.88,2014-10-15,
WTS-2,1.0187068,0.01855,0.,1.12,1000.,0.82,2015-04-24,
Kepler-745,9.93143556,,,,1199.,1.04,2016-05-10,
HAT-P-9,3.92289,0.053,0.,0.78,480.,1.28,2014-05-14,
TrES-4,3.55392771,0.0516,0.016,0.494,492.,1.45,2016-05-05,
Kepler-1569,5.79180156,,,,1050.,1.25,2016-05-10,
Kepler-748,7.40742793,,,,1271.,1.07,2016-05-10,
Kepler-262,13.060855,0.108,,,,,2014-05-14,
Kepler-262,21.853722,0.152,,,,,2014-05-14,
Kepler-746,3.48159251,,,,450.,0.91,2016-05-10,
Kepler-264,140.101261,0.566,,,,1.32,2014-05-14,
Kepler-264,40.806231,0.249,,,,1.32,2014-05-14,
Kepler-1624,3.29030452,,,,199.,0.5,2016-05-10,
Kepler-1299,19.9400874,,,,1352.,0.94,2016-05-10,
Kepler-1271,3.0255955,,,,885.,1.13,2016-05-10,
Kepler-1224,13.32351601,,,,578.,1.18,2016-05-10,
TrES-3,1.30618581,0.02282,0.,1.91,228.,0.93,2014-05-14,
WASP-33,1.2198669,0.02555,,4.1,116.14,1.5,2014-05-14,8.61
Kepler-263,16.568087,0.12,,,,,2014-05-14,
Kepler-263,47.332773,0.242,,,,,2014-05-14,
Kepler-261,10.381227,0.088,,,,0.87,2014-05-14,
Kepler-261,24.570858,0.156,,,,0.87,2014-05-14,
Kepler-356,4.612696,0.057,,,,0.97,2014-05-14,
Kepler-356,13.121632,0.115,,,,0.97,2014-05-14,
Kepler-1064,16.54080322,,,,374.,0.85,2016-05-10,
Kepler-156,4.973456,0.054,,,,,2014-05-14,
Kepler-156,15.906801,0.117,,,,,2014-05-14,
Kepler-1354,76.613377,,,,1057.,1.16,2016-05-10,
Kepler-1172,26.0204423,,,,1292.,0.92,2016-05-10,
Kepler-479,12.49341307,,,,371.,0.86,2016-05-10,
Kepler-575,9.37891944,,,,852.,0.97,2016-05-10,
Kepler-1521,47.14840805,,,,227.,0.81,2016-05-10,
Kepler-754,14.5596237,,,,1192.,1.06,2016-05-10,
Kepler-19,160.,,,6.,2119.,0.94,2014-05-14,
Kepler-19,9.2869944,,0.,0.064,2119.,0.94,2014-05-14,
Kepler-1514,217.8317626,,,,379.,1.21,2016-05-10,
Kepler-1124,2.85234897,,,,177.,0.35,2016-05-10,
Kepler-753,5.74772501,,,,278.,0.68,2016-05-10,
Kepler-683,2.53918318,,,,976.,0.96,2016-05-10,
Kepler-752,18.82747265,,,,1075.,0.87,2016-05-10,
Kepler-98,1.54168,,,0.011,,0.99,2014-05-14,
Kepler-1034,12.12400943,,,,706.,0.83,2016-05-10,
Kepler-766,6.10027804,,,,1614.,1.1,2016-05-10,
Kepler-1419,42.5215895,,,,1444.,1.01,2016-05-10,
Kepler-260,8.187399,0.075,,,,0.88,2014-05-14,
Kepler-260,76.050178,0.332,,,,0.88,2014-05-14,
Kepler-767,161.5280101,,,,1185.,0.96,2016-05-10,
Kepler-268,25.934138,0.18,,,,,2014-05-14,
Kepler-268,83.446393,0.391,,,,,2014-05-14,
Kepler-773,3.74910006,,,,528.,1.04,2016-05-10,
Kepler-1601,2.20921951,,,,660.,1.04,2016-05-10,
Kepler-771,8.73485836,,,,1000.,1.03,2016-05-10,
Kepler-951,71.52530845,,,,408.,0.77,2016-05-10,
Kepler-1484,30.4549136,,,,1095.,0.94,2016-05-10,
Kepler-323,1.678327,0.028,,,,1.09,2014-05-14,
Kepler-323,3.553822,0.046,,,,1.09,2014-05-14,
Kepler-1063,14.07971466,,,,365.,1.09,2016-05-10,
Kepler-1194,16.22371307,,,,616.,0.94,2016-05-10,
Kepler-489,17.27629612,,,,379.,0.82,2016-05-10,
Kepler-774,11.0895723,,,,1190.,1.57,2016-05-10,
Kepler-772,12.99207337,,,,689.,0.98,2016-05-10,
Kepler-454,523.9,,0.0214,4.46,,1.03,2015-12-03,
Kepler-454,10.57375339,0.0954,0.,0.02152,,1.03,2015-12-03,
Kepler-1073,4.02582254,,,,837.,1.,2016-05-10,
Kepler-1073,8.67888593,,,,837.,1.,2016-05-10,
HAT-P-14,4.627669,0.0606,0.107,2.232,205.,1.39,2014-05-14,
Kepler-1024,66.4162133,,,,1017.,0.81,2016-05-10,
Kepler-1452,42.913751,,,,974.,1.41,2016-05-10,
Kepler-1094,78.1000231,,,,1371.,1.14,2016-05-10,
Kepler-684,6.77030201,,,,1066.,0.89,2016-05-10,
Kepler-1550,225.582809,,,,1202.,1.07,2016-05-10,
Kepler-1187,18.87064068,,,,1029.,1.06,2016-05-10,
Kepler-405,29.726682,0.188,,,,,2014-05-14,
Kepler-405,10.613839,0.095,,,,,2014-05-14,
Kepler-24,12.3335,0.106,,1.6,1200.,1.03,2014-05-14,
Kepler-24,8.1453,0.08,,1.6,1200.,1.03,2014-05-14,
Kepler-24,4.244384,0.051,,,1200.,1.03,2014-05-14,
Kepler-24,18.998355,0.138,,,1200.,1.03,2014-05-14,
Kepler-167,21.803855,0.1405,0.12,,330.,0.77,2016-03-10,
Kepler-167,1071.23228,1.89,0.062,,330.,0.77,2016-03-10,
Kepler-167,7.406114,0.0684,0.,,330.,0.77,2016-03-10,
Kepler-167,4.3931632,0.0483,0.,,330.,0.77,2016-03-10,
HD 149026,2.8758911,,,0.368,78.86,1.34,2014-10-15,12.68
Kepler-418,86.67856,,0.2,1.1,,0.98,2014-05-28,
Kepler-769,7.42608998,,,,1362.,1.19,2016-05-10,
Kepler-769,15.9870174,,,,1362.,1.19,2016-05-10,
Kepler-383,31.200751,0.172,,,,0.67,2014-05-14,
Kepler-383,12.904532,0.095,,,,0.67,2014-05-14,
Kepler-770,18.92540274,,,,761.,0.94,2016-05-10,
Kepler-770,4.15244722,,,,761.,0.94,2016-05-10,
Kepler-770,1.47532231,,,,761.,0.94,2016-05-10,
Kepler-149,29.198943,0.184,,,,,2014-05-14,
Kepler-149,160.018032,0.571,,,,,2014-05-14,
Kepler-149,55.328328,0.281,,,,,2014-05-14,
Kepler-768,11.3910025,,,,795.,0.82,2016-05-10,
Kepler-1592,3.05710069,,,,1349.,1.18,2016-05-10,
Kepler-9,1.592851,0.0273,,,650.,1.07,2014-05-14,
Kepler-9,19.24,0.14,0.15,0.252,650.,1.07,2014-05-14,
Kepler-9,38.91,0.225,0.13,0.171,650.,1.07,2014-05-14,
Kepler-967,13.22713379,,,,499.,0.84,2016-05-10,
Kepler-967,198.7112502,,,,499.,0.84,2016-05-10,
Kepler-376,14.172327,0.115,,,,1.05,2014-05-14,
Kepler-376,4.920199,0.057,,,,1.05,2014-05-14,
Kepler-685,1.6255222,,,,1145.,1.11,2016-05-10,
Kepler-1241,18.5525701,,,,936.,0.84,2016-05-10,
Kepler-541,5.08005848,,,,1020.,1.41,2016-05-10,
Kepler-274,33.197861,0.204,,,,,2014-05-14,
Kepler-274,11.634788,0.101,,,,,2014-05-14,
Kepler-234,2.711506,0.04,,,,,2014-05-14,
Kepler-234,7.21205,0.077,,,,,2014-05-14,
Kepler-975,1.97034246,,,,404.,0.8,2016-05-10,
Kepler-275,10.300682,0.098,,,,1.24,2014-05-14,
Kepler-275,35.676062,0.224,,,,1.24,2014-05-14,
Kepler-275,16.088134,0.132,,,,1.24,2014-05-14,
Kepler-1308,2.10433812,,,,73.,0.35,2016-05-10,
Kepler-788,8.39846269,,,,1649.,1.16,2016-05-10,
Kepler-795,29.6193421,,,,458.,0.94,2016-05-10,
Kepler-542,13.14497566,,,,439.,0.93,2016-05-10,
Kepler-1493,15.0217983,,,,572.,1.06,2016-05-10,
Kepler-787,0.9283105,,,,468.,0.65,2016-05-10,
Kepler-1171,1.44259224,,,,615.,1.58,2016-05-10,
KIC 3558849,1322.3,,,,,0.98,2016-01-05,
Kepler-1110,9.69312032,,,,726.,0.73,2016-05-10,
Kepler-415,4.176,,,0.377,,0.67,2014-05-28,
Kepler-415,8.708,,,,,0.67,2014-05-28,
Kepler-1487,7.31946363,,,,1094.,1.38,2016-05-10,
Kepler-467,24.99324193,,,,458.,1.05,2016-05-10,
Kepler-576,29.91136794,,,,698.,0.99,2016-05-10,
Kepler-371,67.968015,0.313,,,,0.94,2014-05-14,
Kepler-371,34.763278,0.2,,,,0.94,2014-05-14,
Kepler-93,4.72673978,0.053,0.,0.01265,,0.91,2015-04-16,
Kepler-93,1460.,,,3.,,0.91,2014-05-14,
HAT-P-1,4.46529976,0.05561,,0.525,139.,1.15,2015-09-10,
Kepler-198,1.31184443,,,,,0.93,2016-05-10,
Kepler-198,17.790037,0.131,,,,0.93,2014-05-14,
Kepler-198,49.567416,0.259,,,,0.93,2014-05-14,
Kepler-278,51.078775,0.294,,,,,2014-05-14,
Kepler-278,30.160546,0.207,,,,,2014-05-14,
Kepler-503,7.25844721,,,,888.,1.01,2016-05-10,
Kepler-146,76.732171,0.364,,,,,2014-05-14,
Kepler-146,31.158799,0.2,,,,,2014-05-14,
Kepler-21,2.785755,0.042507,0.,0.033,108.,1.34,2014-05-14,
Kepler-377,12.509529,0.109,,,,0.88,2014-05-14,
Kepler-377,27.014976,0.182,,,,0.88,2014-05-14,
Kepler-516,24.85462415,,,,777.,1.62,2016-05-10,
Kepler-1410,60.866168,,,,367.,0.63,2016-05-10,
Kepler-1464,5.32786292,,,,692.,1.02,2016-05-10,
Kepler-1464,31.7785901,,,,692.,1.02,2016-05-10,
Kepler-793,4.24153639,,,,794.,0.98,2016-05-10,
Kepler-1495,85.273256,,,,1307.,1.03,2016-05-10,
Kepler-1600,386.370548,,,,992.,0.86,2016-05-10,
Kepler-1065,3.60930891,,,,1078.,0.94,2016-05-10,
Kepler-1065,2.37030743,,,,1078.,0.94,2016-05-10,
Kepler-135,11.448708,0.103,,,,,2014-05-14,
Kepler-135,6.00253,0.067,,,,,2014-05-14,
Kepler-1272,51.1309704,,,,896.,1.06,2016-05-10,
Kepler-792,11.30119217,,,,1205.,1.09,2016-05-10,
Kepler-785,1.97376093,,,,666.,0.77,2016-05-10,
Kepler-543,13.89961966,,,,212.,0.7,2016-05-10,
Kepler-1526,3.908632,,,,576.,0.73,2016-05-10,
Kepler-790,13.73469807,,,,727.,0.84,2016-05-10,
Kepler-1552,184.771853,,,,618.,0.85,2016-05-10,
Kepler-157,1.732342,0.028,,,,,2014-05-14,
Kepler-157,13.5405,0.11,,,,,2014-05-14,
Kepler-157,7.02573474,,,,,,2016-05-10,
Kepler-493,3.00387658,,,,1942.,1.36,2016-05-10,
Kepler-1535,138.9442,,,,879.,1.08,2016-05-10,
Kepler-1183,28.5057189,,,,1378.,1.,2016-05-10,
Kepler-1164,3.97599768,,,,447.,0.85,2016-05-10,
Kepler-1406,11.62905828,,,,587.,1.05,2016-05-10,
Kepler-497,3.57320367,,,,1070.,1.09,2016-05-10,
Kepler-555,16.21775407,,,,772.,1.03,2016-05-10,
Kepler-786,53.5293487,,,,512.,0.81,2016-05-10,
Kepler-556,11.72292176,,,,729.,1.,2016-05-10,
Kepler-473,14.55731705,,,,641.,1.06,2016-05-10,
Kepler-379,62.784697,0.326,,,,1.08,2014-05-14,
Kepler-379,20.09838,0.152,,,,1.08,2014-05-14,
Kepler-789,8.63847725,,,,915.,1.01,2016-05-10,
Kepler-30,60.323105,0.3,0.0111,2.01,1400.,0.99,2014-05-14,
Kepler-30,143.34394,0.5,0.022,0.073,1400.,0.99,2014-05-14,
Kepler-30,29.33434,0.18,0.042,0.036,1400.,0.99,2014-05-14,
Kepler-1403,5.19492202,,,,1801.,1.11,2016-05-10,
HD 45350,963.6,1.92,0.778,1.79,48.95,1.02,2014-09-18,20.43
HAT-P-53,1.9616241,0.03159,0.134,1.484,719.,1.09,2015-11-19,
Kepler-794,11.13125132,,,,763.,1.19,2016-05-10,
Kepler-1553,4.24261881,,,,719.,0.85,2016-05-10,
Kepler-686,1.59474546,,,,1203.,0.94,2016-05-10,
Kepler-791,14.5539759,,,,1447.,1.3,2016-05-10,
Kepler-317,8.77501,0.083,,,,0.95,2014-05-14,
Kepler-317,5.524242,0.061,,,,0.95,2014-05-14,
Kepler-276,14.12841,0.119,,,,1.1,2014-05-14,
Kepler-276,48.648,,,0.051,,1.1,2014-05-14,
Kepler-276,31.884,,,0.052,,1.1,2014-05-14,
Kepler-1382,16.3583055,,,,730.,1.36,2016-05-10,
Kepler-544,21.41616926,,,,797.,1.16,2016-05-10,
Kepler-577,25.69578251,,,,549.,0.78,2016-05-10,
Kepler-277,17.324,,,0.275,,1.12,2014-05-14,
Kepler-277,33.006,,,0.202,,1.12,2014-05-14,
Kepler-147,33.416423,0.216,,,,1.01,2014-05-14,
Kepler-147,12.610584,0.113,,,,1.01,2014-05-14,
XO-5,4.1877558,0.0515,0.,1.19,260.,1.04,2015-02-12,
Kepler-1549,214.886545,,,,792.,0.88,2016-05-10,
Kepler-495,3.41303622,,,,630.,0.86,2016-05-10,
Kepler-58,10.2184954,,,1.39,,0.95,2014-05-14,
Kepler-58,40.101371,0.236,,,,0.95,2014-05-14,
Kepler-58,15.5741568,,,2.19,,0.95,2014-05-14,
Kepler-1053,2.41435165,,,,171.,0.74,2016-05-10,
Kepler-995,28.26731672,,,,659.,0.83,2016-05-10,
Kepler-1107,0.57103852,,,,457.,0.86,2016-05-10,
Kepler-796,6.40087618,,,,377.,0.93,2016-05-10,
Kepler-687,20.50586978,,,,628.,0.77,2016-05-10,
Kepler-817,3.99010623,,,,1401.,1.03,2016-05-10,
Kepler-819,33.1995648,,,,722.,0.86,2016-05-10,
Kepler-816,10.50682565,,,,1059.,0.9,2016-05-10,
Kepler-823,4.16809082,,,,896.,0.98,2016-05-10,
Kepler-820,127.8338098,,,,989.,1.23,2016-05-10,
Kepler-416,6.319,,,0.183,,1.,2014-05-28,
Kepler-416,12.209,,,,,1.,2014-05-28,
Kepler-1139,0.81316672,,,,555.,0.94,2016-05-10,
14 And,185.84,0.83,0.,4.8,76.39,2.2,2014-05-14,13.09
Kepler-826,4.48758907,,,,649.,1.05,2016-05-10,
Kepler-510,19.55659418,,,,378.,0.91,2016-05-10,
Kepler-1373,1.29123275,,,,1112.,1.22,2016-05-10,
Kepler-472,4.17625551,,,,302.,0.85,2016-05-10,
Kepler-597,13.02365861,,,,660.,0.97,2016-05-10,
Kepler-1405,28.2274184,,,,1605.,1.05,2016-05-10,
Kepler-1326,42.3514267,,,,910.,1.45,2016-05-10,
Kepler-235,7.824904,0.065,,,,0.59,2014-05-14,
Kepler-235,46.183669,0.213,,,,0.59,2014-05-14,
Kepler-235,20.060548,0.122,,,,0.59,2014-05-14,
Kepler-235,3.340222,0.037,,,,0.59,2014-05-14,
Kepler-442,112.3053,0.409,0.04,,342.,0.61,2015-01-06,
Kepler-1513,160.88465087,,,,384.,0.99,2016-05-10,
Kepler-1143,2.88890485,,,,632.,0.81,2016-05-10,
Kepler-1143,210.630591,,,,632.,0.81,2016-05-10,
Kepler-331,17.28111,0.105,,,,0.51,2014-05-14,
Kepler-331,8.457496,0.065,,,,0.51,2014-05-14,
Kepler-331,32.134328,0.159,,,,0.51,2014-05-14,
Kepler-688,3.89593684,,,,1247.,0.98,2016-05-10,
Kepler-183,5.687945,0.064,,,,,2014-05-14,
Kepler-183,11.637071,0.103,,,,,2014-05-14,
Kepler-1502,41.7083629,,,,1540.,1.44,2016-05-10,
Kepler-1185,104.3518976,,,,296.,0.96,2016-05-10,
Kepler-1113,42.3004954,,,,1127.,1.12,2016-05-10,
Kepler-120,6.312501,0.055,,,,,2014-05-14,
Kepler-120,12.794585,0.088,,,,,2014-05-14,
Kepler-818,10.03538581,,,,967.,0.94,2016-05-10,
Kepler-1531,1.13854338,,,,670.,1.16,2016-05-10,
Kepler-908,1.34059747,,,,250.,1.11,2016-05-10,
Kepler-821,1.92279873,,,,619.,0.84,2016-05-10,
KELT-1,1.217514,0.02466,0.0099,27.23,262.,1.32,2014-05-14,
Kepler-1469,21.8635301,,,,1255.,0.92,2016-05-10,
Kepler-1109,37.6467384,,,,797.,1.05,2016-05-10,
Kepler-825,3.77360059,,,,820.,1.03,2016-05-10,
Kepler-825,8.1818246,,,,820.,1.03,2016-05-10,
Kepler-1128,61.6178167,,,,1163.,0.94,2016-05-10,
Kepler-1608,16.4735686,,,,832.,0.75,2016-05-10,
Kepler-1304,16.1288853,,,,682.,0.85,2016-05-10,
HAT-P-15,10.863502,0.0964,0.19,1.946,190.,1.01,2014-05-14,
Kepler-25,6.2385,0.068,,12.7,,1.19,2014-05-14,
Kepler-25,123.,,,0.283,,1.19,2014-05-14,
Kepler-25,12.7204,0.11,,4.16,,1.19,2014-05-14,
Kepler-1524,70.9674603,,,,506.,1.17,2016-05-10,
Kepler-689,22.36656079,,,,1044.,0.91,2016-05-10,
Kepler-1155,33.469743,,,,987.,1.03,2016-05-10,
Kepler-1181,4.89337519,,,,867.,1.17,2016-05-10,
Kepler-1384,15.36262753,,,,618.,0.78,2016-05-10,
Kepler-624,14.58649607,,,,731.,1.1,2016-05-10,
Kepler-822,3.22296927,,,,956.,1.06,2016-05-10,
Kepler-1623,4.36128348,,,,986.,1.,2016-05-10,
Kepler-578,1.6168837,,,,568.,0.87,2016-05-10,
Kepler-288,6.097326,0.065,,,,0.89,2014-05-14,
Kepler-288,56.633742,0.287,,,,0.89,2014-05-14,
Kepler-288,19.305772,0.14,,,,0.89,2014-05-14,
Kepler-1581,6.28385491,,,,443.,1.12,2016-05-10,
Kepler-76,1.5449298,0.0274,,2.01,,1.2,2015-10-15,
Kepler-1060,46.8779367,,,,861.,0.99,2016-05-10,
Kepler-625,7.75192492,,,,502.,1.04,2016-05-10,
Kepler-625,4.1653651,,,,502.,1.04,2016-05-10,
Kepler-1609,114.34219,,,,1483.,1.18,2016-05-10,
Kepler-121,3.177422,0.039,,,,,2014-05-14,
Kepler-121,41.008011,0.216,,,,,2014-05-14,
Kepler-350,11.189562,0.104,,,,1.,2014-05-14,
Kepler-350,26.136,,,0.047,,1.,2014-05-14,
Kepler-350,17.849,,,0.019,,1.,2014-05-14,
Kepler-626,14.48585199,,,,690.,1.01,2016-05-10,
Kepler-824,4.51436633,,,,1352.,1.15,2016-05-10,
Kepler-1500,15.0330105,,,,904.,1.,2016-05-10,
Kepler-627,40.6994443,,,,1143.,1.3,2016-05-10,
Kepler-319,4.362705,0.051,,,,1.29,2014-05-14,
